1 1 0 0 0 0.5 0.9375 0.25 0 0 0 0 0 0.8125 1 0.8125 0 0 0 0.0625 0.0625 0.625 0.1875 0.8125 0.375 0 0 0.3125 0.5 0 0 0.375 0.5 0 0 0.466666666666667 0.6875 0 0 0.25 0.571428571428571 0 0 0.1875 0.9375 0.4375 0 0.25 0.5625 0 0 0 0.4375 1 0.8125 0.6875 0.75 0 0 0 0 0.375 0.9375 1 0.25 0
11 1 0 0 0.4375 0.875 1 0.8125 0.0625 0 0 0 0.9375 0.8125 0.1875 0.8125 0.5 0 0 0.375 0.9375 0.125 0 0.5 0.5 0 0 0.375 1 0 0 0.375 0.6875 0 0 0.6 0.8125 0 0 0.8125 0.642857142857143 0 0 0.3125 0.9375 0 0.3125 1 0.3125 0 0 0.25 1 0.5625 1 0.75 0 0 0 0 0.5 1 0.75 0.1875 0 0
21 1 0 0 0.4375 0.4375 0.25 0.25 0 0 0 0 1 1 1 1 0.25 0 0 0.0625 1 1 0.5 0.75 0.5 0 0 0.375 0.9375 0.4375 0 0.75 0.3125 0 0 0.4 0.75 0 0 0.8125 0.285714285714286 0 0 0.3125 0.75 0 0.5 0.875 0.0625 0 0 0.25 1 0.6875 0.9375 0.4375 0 0 0 0 0.5 0.9375 0.4375 0 0 0
31 1 0 0 0.4375 0.875 0.625 0.125 0 0 0 0.0625 1 0.75 0.9375 0.5 0 0 0 0.4375 0.8125 0 0.3125 0.8125 0.125 0 0 0.5 0.75 0 0 0.625 0.375 0 0 0.533333333333333 0.75 0 0 0.5 0.571428571428571 0 0 0.375 0.8125 0 0 0.625 0.5 0 0 0 0.875 0.625 0.375 0.875 0.375 0 0 0 0.3125 1 1 0.5625 0 0
41 1 0 0 0 0.6875 0.8125 0.0625 0 0 0 0.0625 0.125 0.9375 0.8125 0.5 0 0 0 0.3125 0.8125 0 0.1875 0.8125 0 0 0 0.5625 0.6875 0 0 0.9375 0.0625 0 0 0.4 0.6875 0 0 0.875 0.357142857142857 0 0 0.125 0.9375 0.125 0.1875 1 0.25 0 0 0 0.5 0.875 0.875 1 0.125 0 0 0 0 0.4375 0.875 0.375 0 0
51 1 0 0 0.625 0.5 0.6875 0.125 0 0 0 0 1 0.9375 0.5 0.8125 0.125 0 0 0.25 1 0.25 0 0.5625 0.4375 0 0 0.4375 0.875 0 0 0.1875 0.5 0 0 0.533333333333333 0.75 0 0 0.4375 0.571428571428571 0 0 0.375 0.375 0 0.1875 0.9375 0.25 0 0 0.25 0.875 0.625 1 0.4375 0 0 0 0 0.625 0.875 0.3125 0 0 0
61 1 0 0 0.25 1 0.5625 0 0 0 0 0 0.9375 1 1 0.5625 0 0 0 0.1875 1 0.9375 0.3125 0.8125 0.1875 0 0 0.3125 0.5 0.25 0 0.3125 0.4375 0 0 0.333333333333333 0.375 0 0 0.4375 0.5 0 0 0.125 0.6875 0 0 0.6875 0.375 0 0 0 0.8125 0.0625 0.375 0.9375 0 0 0 0 0.3125 0.9375 0.8125 0.1875 0 0
71 1 0 0 0.125 0.9375 0.9375 0.4375 0 0 0 0 0.625 0.75 0.375 1 0.3125 0 0 0.125 1 0.1875 0 0.5 0.625 0 0 0.4375 1 0 0 0.5 0.5 0 0 0.2 1 0.25 0 0.75 0.357142857142857 0 0 0 1 0.4375 0.0625 0.9375 0.1875 0 0 0 0.75 0.8125 0.8125 0.625 0 0 0 0 0.125 0.75 0.8125 0.0625 0 0
81 1 0 0 0.3125 0.9375 0.9375 0.375 0 0 0 0 0.8125 0.6875 1 1 0.25 0 0 0.1875 0.875 0 0.5 0.6875 0.4375 0 0 0.5 0.4375 0 0 0.4375 0.5 0 0 0.466666666666667 0.4375 0 0 0.3125 0.571428571428571 0 0 0.5625 0.5625 0 0.0625 0.6875 0.25 0 0 0.4375 0.8125 0.5 0.875 0.75 0 0 0 0 0.375 0.9375 0.625 0.0625 0 0
91 1 0 0 0.25 0.6875 0.25 0 0 0 0 0 0.75 0.9375 1 0.875 0 0 0 0.25 0.9375 0 0.3125 0.75 0.375 0 0 0.375 0.625 0 0 0.4375 0.5 0 0 0.466666666666667 0.5 0 0 0.5 0.571428571428571 0 0 0.375 0.8125 0 0.0625 0.8125 0.1875 0 0 0.125 1 0.625 0.75 0.8125 0 0 0 0 0.375 0.8125 0.75 0.0625 0 0
